Question ID,Question,Answers
252,Do you see yourself as a Master Vendor for our organization. And if 'Yes' you can indicate where (at least 3) you act as a Master Vendor / Broker.,"Through years of knowledge and experience, Gi Group has everything it takes to be the Master Vendor of Smurfit Kappa. In addition, Gi Group has national coverage in the Netherlands, which means that we can serve all Smurfit Kappa locations. Thanks to our on-site model, we are also able to still offer a high quality of service to the more remote locations and the locations with fewer hours at Smurfit Kappa.\n\nSome customers, of which we Gi Group is the Master Vendor, are:\n1. B&S Holland Trading Group\n• Sector: production (health & beauty) / logistics\n• Countries: The Netherlands\n2. Syncreon:\n• Sector: logistics\n• Countries: The Netherlands, Germany\n3. Lear Corporation:\n• Sector: production (automotive)\n• Countries: Brazil, UK, Germany, Italy, Spain, Poland, Slovakia, Czech Republic\n4. Fiat Chrysler Automobiles (FCA)\n• Sector: production (automotive)\n• Countries: Italy, Spain, Poland, France, Brazil."
253,Have you had implementation processes that are comparable to Smurfit Kappa? Please have at least 3 references.,"Gi Group has gained extensive experience over the years with implementation and migration processes at customers in the production and logistics sectors with volumes in hours similar to Smurfit Kappa, both within and outside the Netherlands.\n\nWe have worked out the implementation and migration process step by step in a process description and always work with a detailed task list and planning. Together with Smurfit Kappa we guarantee a flawless and silent performance.\n\nSome examples of recent implementation and migration processes in the Netherlands are:\n• B&S Holland Trading Group:\n- Sector: production & logistics\n- Locations: Farmsum, Veendam, Dordrecht, Spijkenisse\n• Syncreon:\n- Sector: logistics\n- Locations: Waalwijk, Tilburg, Venray, Maasvlakte, Schiphol\n• Meneba\n- Sector: production\n- Locations: Rotterdam, Wormerveer"
254,"How can you unburden Smurfit Kappa, what role do you wish to play in this?","Part of this question has already been answered in question 9. We advise Smurfit Kappa to opt for a preferred supplier model with two nationally operating temporary employment partners. Both preferred suppliers can be present on-site at the large Smurfit Kappa locations, so that the workload can be proportionally distributed based on the current market share per supplier.\n\nDue to the volume in hours, we can offer Smurfit Kappa a high degree of unburdening in areas, such as:\n• Onboarding (flex workers)\n• Workforce Management (flex workers)\n• Planning and pool management (flex workers)\n• Time registration\n• Billing\n• (Additional: Contract Management of sub suppliers)\n\nGi Group takes care of the recruitment, planning, workforce management and all communication (possibly to an additional sub-supplier), so that Smurfit Kappa has a Single Point of Contact for all questions and services. Smurfit Kappa discusses with the Single Point of Contact, the Onsite Consultant, such matters as:\n• To request\n• Forecast\n• Employer Branding\n• Problems"
255,Indicate how the level of experience of Uzk is safeguarded. Eg the difference between an experienced forklift truck driver or 1 who just has his certificate.,"During the recruitment phase, a candidate's level and experience are determined by obtaining two references, after which a driving test follows at the relevant Smurfit Kappa location in the presence of the Onsite Consultant and an experienced Smurfit Kappa employee.\n\nOnce a flex worker is employed at Smurfit Kappa, the level and experience are assured by introducing the competence once in the planning and / or workforce management software and updating it annually."
256,You must submit a proposal for a Service Level Agreement and the associated KPIs.,"The Service Level Agreement (SLA) is the most important document between Smurfit Kappa and Gi Group and describes the cooperation and agreements between both parties. The purpose of an SLA is to make binding agreements about the quality parameters of the service and about the reports. Performance and services provided are continuously measured with Key Performance Indicators (KPIs) defined in the SLA. We believe that we need to measure key figures (KPIs) to manage our organization and to continue to learn. We do this Gi Group broadly, but also specifically for Smurfit Kappa. We share the results monthly via an Excel export from our system and discuss them at regular consultation moments.\n\nGi Group proposes the following KPIs to Smurfit Kappa:\n• Fulfillment rate (= the number of successful placements vs. number of applications)\n- 99% on forecast\n- 95% other\n• Complaints (= the number of complaints on an annual basis)\n-"
257,Are you able to deploy flex workers for the deployment of weekly and daily schedules without intervention and / or consultation with Smurfit Kappa.\r\nAnd if 'yes' you can indicate how you can do this.,"Yes, Gi Group is able to deploy flex workers for the deployment of weekly and daily schedules without intervention and / or consultation with Smurfit Kappa.\n\nThe planning of permanent and flexible personnel can be arranged by Gi Group if desired. Every week Gi Group collects the hiring needs of every hiring manager within Smurfit Kappa. We will receive the capacity requirement from Smurfit Kappa no later than Thursday, so that we can complete the planning on Friday. From this information we make a planning based on competencies, based on; hours, costs, services or productivity. This guarantees Smufit Kappa complete delivery with maximum competences at the lowest possible price. Hiring managers can no longer call a person by name, which in most cases adds to costs. In the event that the daily schedule differs from the weekly schedule for reasons such as; disease, no show or unexpected production increase, Gi Group will compensate for these ad hoc deviations through the use of pool management.\n\nThe deployment of personnel is a dynamic process. Goals change, the workforce changes, the workload changes and so the planning has to change, both in the long and in the short term. More and more processes have been digitized. The employees have online access to the timetable and can submit changes themselves. This means that the planning must be continuously adjusted. Our planning software has been specially developed for companies with highly variable staffing levels, shifts and for companies that work with flexible personnel. It takes into account the applicable collective labor agreement, the Working Hours Act and other laws and regulations. Within the frameworks set by Smurfit Kappa, employees have the option of self-rostering via PC, tablet and smartphone, with the 24/7 App. If something changes in one schedule, the other schedules will automatically adjust accordingly."
258,"How does your organization deal with the planning of flex workers, which forms of planning can be integrated and what advice can your organization give on how Smurfit Kappa should deal with this. Which IT resources are used for this and are there any costs involved.","This question has largely already been answered in question 16. We mainly advise Smurfit Kappa to choose the right planning software. The packages we use, such as Planday and Tempbuddy, are equipped with all the latest functionalities in 2019, making planning a lot easier than using outdated planning software. The user-friendliness and design of these packages means that the software takes over part of the repetitive tasks of a planner, so that less time is needed for planning and fewer errors are made. Think of the mutual exchange of services, but also of a handy ranking of flex workers based on the flexibility actually shown. Of course everything works via a handy App.\n\n Gi Group advises Smurfit Kappa on planning on matters such as:\n• Where are the bottlenecks?\n• Where and when is cross training / education necessary?\n• When should recruitments be set up to anticipate peak periods in time?\n• How can we improve forecasting together? (based on historical data)\n• What pool size is needed per target group?\n• What is the optimal pool composition?\n\nThere are no additional costs for Smurfit Kappa for facilitating the planning of flex workers and the use of planning software, this has already been included in the conversion factor."
259,What training budget does your organization make available and how is it structured?,"By default, Gi Group reserves the statutory 1.02% as a training budget in the cost price for flex workers in phase A. Because we want to invest optimally together with Smurfit Kappa in the development of flex workers, we reserve more training budget than the statutory standard, namely a total of 2.0 %, for flex workers in phase A.\n\nBy investing more in the development, training and education of flex workers, we can also retain flex workers for longer at Smurfit Kappa and Gi Group, increasing the average length of stay per flex worker. We also see a clear correlation between development, training and education on the one hand and the performance of a flex worker on the other. We are happy to determine the allocation of this training budget together with Smurfit Kappa, so that we can offer Smurfit Kappa tailor-made solutions per location."
260,What options are there to transfer 'Unspent training funds' to the next calendar year.,"The statutory / CLA 1.02% must be issued in the year in which it is reserved or the following year.\nFor the remaining 0.98%, Smurfit Kappa is free to draw up its own rules. Gi Group does propose not to leave this for longer than the reservation year plus one year."
261,How does the organization deal with digitizing all national assessment and evaluation moments;,"Various solutions are possible for this. Which produces the best results for Smurfit Kappa depends on a number of things. It is also important to take into account GDPR legislation.\n\nGi Group can facilitate Smurfit Kappa in this. For example, we have a possibility within our MyGi environment to do this. This guarantees privacy, security and shareability."
262,Describe how you approach the labor market in and around Franeker and how you search for candidates and eventually make them stay.,"HR-software    Gi Group uses the   Mysolution   software, an all-in-one solution, where the front, mid and back office are fully integrated in one system. The front and mid office use the   SalesForce   platform and the back office of Microsoft Navision, from which we also load all data via the   SalesForce   Einstein data warehouse into clear dashboards. This gives Gi Group the opportunity to analyze in detail all data that   is released   in the process from inflow, through flow to outflow, and make it available to Huhtamaki. By making the real-time data of the entire HR cycle accessible, we have insight into success factors, bottlenecks and performance. In the event of bottlenecks, we can (timely) adjust, optimize or intervene. In the case of success, we can continue, accelerate or broaden.        Targetgroup   dashboard     In   MySolution  , Gi Group has integrated the Intelligence Group target group dashboard, so that we have all the necessary information regarding supply analysis, labor market analysis and target group analysis. This gives Gi Group a detailed and realistic picture of the job market in the   Franeker   region and gives Huhtamaki an advantage over competing companies in the region looking for the same type of profiles. We can even map the current employment conditions of the companies in the region using public data that is accessible to us.    Some examples of data are:     Insight into recruitment feasibility: what percentage of your target group   is actively and / or latently looking  ? How scarce is your talent? How often are these accessed?      Insight into where and how you can reach your target group: through which media   channels   can I reach the active and latent target group? Which (pull) factors set him or her in motion? What are their hobbies and interests?      Insight into the (regional) labor market: what   is the average salary offered  ? Who are your competitors? How long are vacancies open on average?      The right target group information to manage realistic expectations towards Huhtamaki.     In Appendix   A   we give Huhtamaki a preview of the possibilities that this target group dashboard will offer us when we enter into a partnership with each other.    Search    Gi Group has a Central Recruitment Team (CRT). This is a centralized and specialized recruitment team of serious size, based in Amsterdam. Thanks to the CRT, we are able to scale up and down very quickly for our customers, because we can schedule recruiters in blocks of 3 hours for our customers throughout the Netherlands. The CRT is responsible for recruitment, pre-selection, reference checks, talent pool management and the scheduling of face-to-face conversations with our Onsite Consultants. The CRT has the latest IT applications and, in addition to the traditional telephone   line, also   makes extensive use of WhatsApp (messages / video), SMS, Facebook and FaceTime.    The CRT uses both online and offline channels. Online channels include social media such as; Facebook, Instagram and LinkedIn,   but also   channels such as www.gigroup.nl, Google Adds and our own database. In addition, job boards are also used. These are digital boards on which vacancies and CVs   are published  , for example Indeed,   Neuvoo  ,   Nationale     Vacaturebank  , Werk.nl and regional platforms. Offline channels   are also actively used   in campaigns. There are many ways to search for suitable   candidates   offline for a vacancy. For example, flyers   are hung up and distributed around business parks, public buildings and supermarkets where Huhtamaki\'s competitors are located  . Vacancies   are also published   in local newspapers and referral campaigns are used (for example tell-a-friend promotions with a reward). When people get recommendations from people they trust, they are more likely to take the step.    Selection    After the pre-selection on hard criteria by the CRT, the   interviews are scheduled by the CRT   for the Onsite Consultant, who then makes the final match on soft criteria. The live interviews always take place on-site at Huhtamaki. The Onsite Consultant knows exactly what Huhtamaki is looking for, who fits the culture and values of Huhtamaki and knows not only the measurable competences, but also the softer characteristics that make an employee suitable for the vacancy. By conducting the interview in a structured way using smart interview techniques (for example STAR), we get a reliable picture of the behavior of an applicant in work situations. If large groups have to enroll at the same time, we sometimes choose to organize group sessions. We sometimes use assessments for more complex roles.    Bind    Labor is human work. By giving flex workers the right attention, turnover, absenteeism and no show   are reduced   and involvement is increased. By drawing up a retention plan, we ensure that the flex workers have a bond with Huhtamaki and Gi Group. Four needs are central to the retention plan; work,   pay,   attention and development.    After the right match, the guidance of the flex workers begins. Gi Group guides the flex workers placed at Huhtamaki in a human, yet structured way. The flex workers   are guided   because:     Gi Group wants to contribute to the labor market and develop and train flex workers based on this core value;    Gi Group is the official employer and attaches importance to satisfied flex workers;    A satisfied flex worker likes to go to work;    A satisfied flex worker performs better;    A satisfied flex worker is not very absent and stays longer at Huhtamaki.     The Gi Group Onsite Consultants are responsible for guiding flex workers. The Onsite Consultants are the experts in this field and   are supported   by our colleagues from the staff departments at the head office. Thanks to our many years of experience, we know exactly what our flex workers expect from us as an employer. Based on this knowledge, a coaching process   has been developed   in which the flex worker is central.    The retention plan for Huhtamaki can include:     Maintain as much contact as possible with the flex workers and know what is going on. This in a smart mix of as much on-site presence and contact over online channels as possible;    Streamlined onboarding; in which we offer clarity and structure in addition to a warm welcome;    Personal guidance during the induction period;    Contact moment at the end of the first working day and first working week;    Check for needs / motivation for a personal training program;    Monitoring progress during the training process;    Contact moment at the end of the trial period together with manager Huhtamaki;    End of the first month of probationary interview;    Structured evaluation moments (every quarter);    Compliance with Huhtamaki assessment system;    Show appreciation by means of Christmas gift, birthday card and reward for extra effort;    Structural employee satisfaction survey."
263,What contribution could you have to the employer branding of Huhtamaki?,"Our marketing specialists and your Onsite Consultant are happy to think along with Huhtamaki about employer branding. Nowadays, an employer branding strategy or no employer branding strategy makes the difference in a tight labor market, even now that more people are available due to the Corona pandemic. We see significant discrepancies in attracting and retaining talent between companies with a strong brand name, culture and large marketing budget and those that do not have this advantage.    Together with   Huhtamaki   we make a SWOT analysis, in which the key points related to; “Why candidates would like to work at Huhtamaki” has been incorporated. We compare this SWOT analysis with a (local) competition analysis, after which we determine together which of the strengths we use in labor market communication, such as recruiting and SEO proof vacancy texts with an attractive layout, but also custom advertisements that we use via online - and offline channels (see question 1). We also determine together with   Huhtamaki which   channel mix we will use. To arrive at a channel mix, we do AB tests, in which we try multiple channels and variants of advertisements, so that we can measure what gives the best results in the   Franeker   region. We always keep costs vs. the expected result sharp in the eye. Because we can analyze all data in   Mysolution  , our HR software, handy dashboards allow us to see which campaigns are most successful. After we have determined the employer branding strategy together with Huhtamaki, we make an action plan and a schedule. Employer branding is a fixed item on the agenda below during our meetings (see Appendix B: communication matrix).    From our vision, employer branding can only be achieved if the internal organization supports this image and there is commitment at all levels; before and during the execution, both on the side of Huhtamaki, and on the side of Gi Group. Communication of texts, images and videos are especially important during the recruitment and selection phase.   But   what was communicated during recruitment and selection must become apparent in reality during the introduction, the induction process, development and in the working environment at Huhtamaki. External communication is about what, but especially how you communicate. The content must be consistent, honest and in line with the culture, target audience and predetermined message. In addition, the form also determines   to a large extent   how the message comes across.   Who\'s   speaking?   What\'s   the tone? How does it look? For example, do you want to position yourself as a young, innovative organization with a focus on fun? Then the communication must radiate this. Is development one of your spearheads? Then make sure that this is reflected   again and again   in your communication.    In addition, it is important to understand the candidates, so that together we can make Huhtamaki more interesting for them. Part of understanding the candidate   is understanding   where their interests lie. In addition, it is essential to look at where this specific group of   candidates can be found, so on which platform. With this information, suitable vacancies   can be written   on the right platforms.    Another possibility that Gi Group hopes to put into practice in the future at Huhtamaki is to make videos about the temporary workers who will start working at Huhtamaki. This gives an idea of ??what a working day at Huhtamaki looks like. Interviews   can also be held   with the temporary workers, in which they can tell about their work experience and perception.    Finally, we will look together at a content strategy and we can advise Huhtamaki on how smart more attention   can be paid   to increasing brand awareness on social media. Ultimately, we can only be successful in employer branding and marketing if our team can work closely with the team within Huhtamaki who is responsible for this."
264,Which clients with a comparable need do you have within a radius of 25 km around the location (Franeker) of Huhtamaki?,"Our closest customer is Bakker   Logistiek  , with branches in   Heerenveen   and   Zeewolde  , among others.    We also serve many customers in Flevoland (including   Lelystad  , Almere) and Groningen (including   Farmsum  ,   Veendam  ,   Kolham  ).    It does not matter to Gi Group at which location in the Netherlands a company is located, as long as we can grow (quickly) to a volume of at least 1,000 hours per week. In the past 4   years   we have grown so quickly to more +50 onsite locations, spread throughout the Netherlands, including on-sites in very remote areas.    Because we have the right resources to gain real-time insight into your local labor market and our model is based on the deployment of a local Onsite Consultant supported by centralized and digitized departments for recruitment, administration and planning, we can develop in   Franeker  .    Gi Group is a national specialist in the supply of flex workers to companies with large populations of production workers, operators and logistics personnel, so we are well equipped to serve   Huhtamaki.      Our   closest customer is Bakker   Logistiek  , with branches in   Heerenveen   and   Zeewolde  , among others.    We also serve many customers in Flevoland (including   Lelystad  , Almere) and Groningen (including   Farmsum  ,   Veendam  ,   Kolham  ).    It does not matter to Gi Group at which location in the Netherlands a company is located, as long as we can grow (quickly) to a volume of at least 1,000 hours per week. In the past 4   years   we have grown so quickly to more +50 onsite locations, spread throughout the Netherlands, including on-sites in very remote areas.    Because we have the right resources to gain real-time insight into your local labor market and our model is based on the deployment of a local Onsite Consultant supported by centralized and digitized departments for recruitment, administration and planning, we can develop in   Franeker  .    Gi Group is a national specialist in the supply of flex workers to companies with large populations of production workers, operators and logistics personnel, so we are well equipped to serve Huhtamaki."
265,"With what methods do you quarantee the quality and functioning of the temp workers, measure and report this?","Recruitment     During the recruitment of flex workers, various steps have been built in to check the quality of the temporary worker in advance:    Telephone screening (availability, willingness to work shifts, motivation, certificates, language, etc.);    Reference check;    Face2face intake at location Huhtamaki by Onsite Consultant (deeper into competencies, shifts, motivation, culture match, general impression);    Conduct (language) tests or assessments for senior and office   positions.      During   the recruitment of flex workers, various steps have been built in to check the quality of the temporary worker in advance:    Telephone screening (availability, willingness to work shifts, motivation, certificates, language, etc.);    Reference check;    Face2face intake at location Huhtamaki by Onsite Consultant (deeper into competencies, shifts, motivation, culture match, general impression);    Conduct (language) tests or assessments for senior and office positions.     Interim   assesment       Interim assessment is always in consultation with the customer, as an assessment system has often already been set up. Gi Group\'s standard procedure is as follows:     Evaluation first day (by telephone by Onsite Consultant)    Evaluation first week (by phone by Onsite Consultant)    Evaluation first month (preferably on site by Onsite Consultant, if desired with the manager of the flex worker)    Evaluation after six months (on location by Onsite Consultant, preferably together with the   flexworker\'s   manager)    Annual evaluation (on location by Onsite Consultant, preferably together with the   flexworker\'s   manager)     All assessments and communication   are recorded   in   Mysolution  , Gi Group\'s HR system.    Ongoing processes    In addition to the formal evaluations, the Gi Group Onsite Consultant also regularly has an informal conversation with the managers and flex workers, so that any pain points   are quickly identified  . Our goal is to be on site as much as possible, especially during shift changes, so that we hit the people.    Training     Together with Huhtamaki, we draw up a training plan per profile per person, whereby we will fully utilize the training reservation of 1.02% of the gross salary in phase A.    Reports    In line with the agreed consultation structure (see Appendix B: communication matrix), a report will be published in which the assessments are communicated. These reports also include details such as absenteeism, not showing up, arriving late, etc. We would like to talk to Huhtamaki about the requirements and wishes regarding this report."
266,"How do you think you can spend the 1.02% reservation for training at Huhtamaki? In addition, are there currently interesting subsidy options for Huhtamaki related to the use of (flexible) labor? If so, which ones and how can these be used in practice?","Schooling reservation    Training is a very important ingredient to bind and captivate flex workers. Specialized technical knowledge is a great addition to the production at Huhtamaki. We propose to select flex workers together with Huhtamaki and to annually offer a group of outstanding people (as a guideline the aforementioned evaluations) a training course, for example Operator MBO 3, or another training that meets   Huhtamaki\'s   training needs. In doing so, the flex workers become more specialists, all-rounder deployable in the pool and Huhtamaki can offer them career opportunities, increasing the chance of Huhtamaki retaining these stars.    Another group we can offer language training, safe working training, forklift or manager training. This is in consultation with Huhtamaki to give shape, whereby the outcome of the evaluations of the temporary workers also indicate a direction.    Subsidies     We propose to distribute the following subsidies, which   are paid out   and apply to the population of flex workers who work at Huhtamaki 50/50 through Gi Group. Huhtamaki will then receive the 50% part of the subsidy after it   has been paid   to Gi Group.      Rijksoverheid:    https://www.rijksoverheid.nl/onderwerpen/wet-tegemoetkomingen-loondomein-wtl/tegemoetkoming-loonkosten-oudere-jongere-of-gehandicapte-werknemers/loonkostenvoordelen-lkv         Lage inkomensvoordeel (LIV)     Rijksoverheid:    https://www.rijksoverheid.nl/onderwerpen/wet-tegemoetkomingen-loondomein-wtl/tegemoetkoming-loonkosten-oudere-jongere-of-gehandicapte-werknemers/lage-inkomensvoordeel-liv         Jeugd-LIV     Rijksoverheid:    https://www.rijksoverheid.nl/onderwerpen/wet-tegemoetkomingen-loondomein-wtl/tegemoetkoming-loonkosten-oudere-jongere-of-gehandicapte-werknemers/tegemoetkoming-verhoging-minimumjeugdloon-jeugd-liv        DOORZAAM schooling vouchers    DOORZAAM\'s mission is to stimulate the sustainable employability of flex workers. Stimulating and promoting sustainable employability involves career, learning, development, health and finances. DOORZAAM distributes training vouchers to temporary employment organizations as a financial support for flex workers. The flex worker can use the voucher to choose one or more training courses, courses or training courses up to a maximum of € 500 incl. VAT. Upon receipt of these training vouchers, Gi Group will also make them available to flex workers deployed at Huhtamaki.    DOORZAAM:    https://www.doorzaam.nl/loopbaan/scholingsvouchers/   ."
267,"What posseblities and experience do you have with the training of forklift drivers and operators, what is the pricing and what part will you take for your own expense?","The costs for lift, reach or narrow aisle truck training are fully covered by Gi Group from the budget of the 1.02% training reservation that we build up for flex workers in phase A (78 weeks). We train a large part of our logistics temporary workers through BLOM training courses. At the request of our client, this   can of course also be done   via another training institute in the   Franeker   region.    Together with Huhtamaki, we can select temporary workers and annually offer a group of excellence (as a guideline the aforementioned evaluations) training, for example Operator MBO 3. In doing so, they become more specialist and Huhtamaki can offer them career opportunities, thereby increasing the chance of retaining   these excellence   by Huhtamaki.    An example of a training that we regularly purchase for our customers in the production sector is  :     https://www.opleiding.nl/opleiding/mbo-vakopleiding-procesverbetering.html?open=brochure-lite&course=a9f3a7ac-78ba-4c8a-819e-42658a9b0f73            This training is at MBO-3 level, but shortened to the essential courses that are required for process operators and the costs are approximately € 2,630. A full MBO-3 training for process operator costs € 6,685. For the latter   training   it is a requirement that Huhtamaki is a recognized training company. We are happy to coordinate with Huhtamaki the exact percentage that Gi Group takes care of for this type of training, because this depends on how the total training budget is spent and for   this   we must first properly map out the volumes and wishes."
268,"""A good start is half the work"". The better a new employee is informed, the lower the unwanted outflow and the higher the productivity. In what way and with what means do you guarantee optimal ""onboarding"" of new employees and what can this all include?","Everything depends on the timely availability, maintenance and registration of the most up-to-date and correct information in one system. In this Gi Group has a “fetch duty” and Huhtamaki a “fetch duty”.    Sales    In our opinion, the design of the onboarding already starts with the start-up of a new customer. Sales has answered the questions from the customer during the commercial process and, together with operations, devised the solution in the form of related services. The agreements   are laid down   in an SLA and this is offset by a tariff. This information   is entered   by sales in   Mysolution  , our HR software, where the entire cycle of processes from inflow,   throughflow   to outflow and invoicing come together. Sales always remains closely involved during the implementation phase and works together with operations. Sales organizes a handover meeting, where all information is shared and discussed with colleagues from all departments such as; operation, recruitment, planning, finance and administration.    Recruitment    Recruitment also plays an important role in informing flex workers, because recruitment establishes the first contacts with the prospective flex workers for Huhtamaki. The recruiters must therefore be well informed about all the   ins   & outs at Huhtamaki and maintain short lines of communication with the Onsite Consultants.    CPA    The administrative process   is completely taken   over by the Onsite Consultant by our CPA department, so that the Onsite Consultant can focus on account management and workforce management. CPA has no contact with the customer, but only with the flex workers. CPA takes care of all administrative matters concerning flex workers (hirer\'s remuneration, contracting, time processing, wage payments, corrections, leave, illness, etc.) and maintains the   1st   line of communication with the flex workers. As a result, we deploy specialists in the administrative process, which reduces the error margins and the flex workers have quick answers to their questions. Before CPA can send a flex worker his or her employment contract for the digital signature,   all mandatory   and signed documents must be uploaded from the placement in the system and CPA must follow all instructions that we have specified specifically for Huhtamaki in   Mysolution   our HR -software. Think of things like; deposit forms, collective labor agreement, safety instructions, non-disclosure agreement, explanation, planning, time registration and company assets, such as shoes and clothing. We make a working-by-booklet especially for Huhtamaki, in which the most important things   are clearly described  . The Onsite Consultant goes through this work-by-booklet extensively with the flex worker. These documents and instructions are easy to find for flex workers at any time via the online candidate portal, which is also accessible via an app. The safeguarding of all these process steps in   Mysolution   contributes to a positive experience for the flex worker of the onboarding.    Onsite operation    In our opinion, nothing beats personal contact, so our Onsite Consultants are often on-site during the onboarding and induction period to inform, guide and answer questions for the flex workers. In   this   we always look for the triangle with production and HR of Huhtamaki, because only together we can optimally fulfill this period of information and instruction.   ?"
269,"Huhtamaki requests a Master Vendor (brokerage) role from her partner. If you cannot foresee yourself, engage other agencies that meet all the conditions set in the job profiles and against the agreed (financial) conditions. Do you agree with this? Do you already have (potential) partners in the region, if so which ones?","Yes, we agree with this.    Yes, we have both local partners and nationally operating partners. In the   answer   we primarily focus on our technical partners, as we expect to mainly need support from our partner database in the field of the heavier profiles, such as TD and experienced Operator.    A selection of our technical partners:     Xelvin      Jobz  -on      IJssel Technology      Techsharks      AB Vakwerk     Our colleague Joost Vinkenvleugel, Business Unit Director Grafton, has a particularly extensive network in the technical niche market and will play a supporting role in the background.   Esther de Haan, Gi Group Operations Manager, also knows the Frisian market well, as she was born and raised in Friesland."
270,"By accepting the role of Master Vendor, your organization declares that it indemnifies the customer from any liability towards sub-suppliers deployed by your organization (as Master Vendor). Do you agree with this?","Yes, Gi Group is responsible for managing the sub-suppliers.    In concrete terms, this means that we apply the same rates and conditions to the sub-suppliers, as agreed between Huhtamaki and Gi Group. Gi Group will also take care of all communication towards the sub-suppliers, about operational matters such as  ;   vacancies, onboarding and planning, so that Huhtamaki only has one single point of contact, namely the Gi Group Onsite Consultant."
271,"Given the information in the introduction and your own knowledge of Huhtamaki; is the ""traditional"" in-house role necessary in your view? If not, how do you organize the necessary attention, if so how would you implement the in-house role? Which tasks, roles, activities contribute most to Huhtamaki\'s goals?","In our opinion, the onsite model is the only way   to properly implement   the HR partnership that   Huhthamaki   aspires to. Gi Group therefore does not have a branch network and is always onsite with its customers, whereby the onsite presence   is linked   to the hours per week (see question 11). The close interdependence between the two organizations in the deployment of a large group of flex workers on the basis of posting in a so-called triangular employment relationship, combined with the requirements and wishes with regard to service provision from Huhtamaki, means that regular but efficient communication is the only key to success. The Corona pandemic has taught the world to adapt to more remote communication through channels like; Microsoft Teams, Zoom, Skype for Business, etc. What has also become clear is that personal physical contact on the work floor is indispensable to strengthen a relationship and to arrive at creative solutions together.    However, these activities   can easily be done   from a distance, such as:     Search    Pre-selection    Assessments    Marketing    Administration     Report    Planning and pool management    Replace no shows    Master Vendor service    Show up checks      Activities, where onsite presence is required, are      Implementation and migration    Final selection rounds    Introduction (onboarding, instructions)    Tours     Company equipment; safety shoes, uniforms, PBM, access cards, etc.    Schooling     Show up checks     Evaluations and assessments      Work meetings (weekly, monthly, quarterly  )    We   can also perform the above activities that are mentioned in the case of physical on-site presence, remotely. However, we strongly prefer to carry out these activities on-site with a physical presence."
272,How do you propose to organize this at the start of the implementation?,"With a volume of 60,000 hours per year, converted 1,150 per week, Gi Group guarantees an in-house occupation of at least 2 days per week. Due to the flexibility in our model, we can easily adapt our in-house presence to the needs during peak times, during implementation and migration and during final selection interview rounds.    Thanks to our onsite model with mobile consultants, who are supported and unburdened by the CRT, CPA the   Flexpool   Coordinators and our Staff departments, we are generally   more present   in-house than our competitors with a volume of 60,000 hours per year. The presence and occupation of the in-house office partly depends on the number of flex hours per week. If the number of hours falls below the number agreed in writing (60,000 hours / year), Gi Group reserves the right to adjust the daily staffing accordingly.    We will involve Huhtamaki in the process of selecting a suitable in-house employee."
273,Describe in a short process flow what your process of planning and pool management will look like in the context of Huhtamaki\'s desired planning methodology described in the introduction (planning for availability and competences across departments and teams).,"The success factors for making and executing the planning and pool management are always communication and the planning tool, both towards each other, and towards the internal organization and flex workers. Because we still have insufficient knowledge of the planning processes at Huhtamaki at this stage, other than what   is described   in the RFP documentation, it is difficult to create a process flow. We have therefore based the process flow below   on the basis of   our knowledge and experiences with similar production customers.     1 week before planning, a proposal planning is made by Gi Group based on the forecast from Huhtamaki;    When the proposal schedule is ready, it is available to the team leaders within 48 hours. The team leaders have access via their own login to our planning system to make real-time adjustments;    The team leaders have access 5 days before the planning starts. 2 days before the planning starts, they must have entered the changes (think of dividing services, competencies and positions according to their own wishes)    We send out planning 2 days in advance for two weeks later;    The team leaders can always monitor in real-time what is happening in the planning, so when we make a proposal for a change, the team leaders are also watching. We all see one schedule;    We distinguish two phases in our planning system, namely proposal planning and actual planning;    After changes, we consult with the team leaders and these changes   can be refuted   within 24 hours. In short, we always keep in touch with the team leaders;    Per department, we schedule a short operational meeting with the team leaders once a week to discuss the changes;    The flex workers receive an email or text message with the services (in coordination with Huhtamaki);    Pool management is organized on the basis of functions and availability;    Planning is organized   on the basis of   departments, teams, positions and competences.     The   Mysolution   planning tool takes into account the applicable collective labor agreement, the Working Hours Act and other laws and regulations. Within the frameworks set by Huhtamaki, employees have the option of self-rostering via PC, tablet and smartphone, with the 24/7 app, in the event of ad hoc changes. If something changes in one timetable, the other timetables will automatically adjust accordingly. Gi Group advises Huhtamaki on planning and pool management on matters such as:     Where are the bottlenecks?      Where and when is cross training / education necessary?      When should recruitment start in order to anticipate peaks in time?      How can we improve forecasting together? (based on history)      What is the optimal pile composition and size?      Which mix of target groups works best per profile and / or department?"
